Trf_Msg,Alpha_letters,Len_Of_Words,No_of_Chars,No_of_Sentences,No_of_digits,Num_chars,Special_chars,Target
wait still clear sure sarcast want live us,101,29,130,1,0,0,4,0
yeah got apologet fallen actin like spoilt child got caught till go badli cheer,139,40,189,6,2,2,7,0
tell anyth,23,6,29,1,0,0,1,0
fear faint housework quick cuppa,67,17,84,2,0,0,1,0
thank subscript rington uk mobil charg month pleas confirm repli ye repli charg,126,29,159,2,1,1,2,1
yup ok go home look time msg xuhui go learn nd may lesson,86,27,123,1,2,2,6,0
oop let know roommat done,36,11,47,1,0,0,3,0
see letter car,21,8,28,1,0,0,0,0
anyth lor decid,18,4,27,1,0,0,6,0
hello saturday go text see decid anyth tomo tri invit anyth,119,33,155,4,0,0,7,0
pl go ahead watt want sure great weekend abiola,63,17,82,4,0,0,3,0
forget tell want need crave love sweet arabian steed mmmmmm yummi,94,28,142,2,0,0,15,0
rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,113,27,172,2,2,22,5,1
see,15,4,19,1,0,0,1,0
great hope like man well endow lt gt inch,48,14,72,3,0,0,10,0
call messag miss call,26,5,32,1,0,0,4,0
get hep immunis nigeria,36,9,45,1,0,0,2,0
fair enough anyth go,25,5,31,1,0,0,2,0
yeah hope tyler could mayb ask around bit,52,15,67,1,0,0,2,0
know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,112,33,148,4,0,0,7,0
think first time saw class,45,12,58,2,0,0,2,0
gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,89,24,124,1,0,0,11,0
fyi ride earli tomorrow morn crash place tonight,64,17,80,1,0,0,1,0
wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,221,60,291,6,0,0,16,0
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,94,22,120,5,0,0,5,1
know mallika sherawat yesterday find lt url gt,57,14,76,2,0,0,6,0
congrat year special cinema pass call suprman matrix starwar etc free bx ip pm dont miss,98,25,161,7,10,24,12,1
sorri call later meet,26,7,34,1,0,0,3,0
tell reach,19,4,22,1,0,0,0,0
ye gauti sehwag odi seri,31,8,40,1,0,0,3,0
gon na pick burger way home even move pain kill,80,23,108,3,1,1,5,0
ha ha ha good joke girl situat seeker,38,9,48,2,0,0,2,0
part check iq,20,6,25,1,0,0,0,0
sorri roommat took forev ok come,43,12,56,1,0,0,2,0
ok lar doubl check wif da hair dresser alreadi said wun cut short said cut look nice,85,24,110,2,0,0,2,0
valu custom pleas advis follow recent review mob award bonu prize call,106,26,153,2,2,15,3,1
today song dedic day song dedic send ur valuabl frnd first rpli,92,23,124,2,0,0,10,0
urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj,105,21,161,3,10,21,10,1
hear new divorc barbi come ken stuff,59,16,80,2,0,0,7,1
plane give month end,26,8,34,1,0,0,1,0
wah lucki man save money hee,30,8,46,1,0,0,9,0
finish class,24,5,29,1,0,0,1,0
hi babe im home wan na someth xx,35,10,45,2,0,0,1,0
perform,31,9,42,1,0,0,6,0
call,13,5,20,1,0,0,3,0
wait machan call free,33,9,43,2,0,0,2,0
that cool gentleman treat digniti respect,58,14,73,2,0,0,2,0
like peopl much shi pa,37,11,50,1,0,0,3,0
oper lt gt,29,8,42,1,0,0,5,0
still look job much ta earn,57,17,76,3,0,0,4,0
sorri call later,17,5,22,1,0,0,2,0
call ah,22,8,32,1,0,0,2,0
ok way home hi hi,23,10,32,1,0,0,0,0
place man,28,9,36,1,0,0,0,0
yup next stop,11,3,14,1,0,0,1,0
call later network urgnt sm,40,12,55,2,0,0,5,0
real get yo need ticket one jacket done alreadi use multi,91,26,121,3,1,1,4,0
ye start send request make pain came back back bed doubl coin factori got ta cash nitro,110,32,144,3,0,0,4,0
realli still tonight babe,33,10,42,1,0,0,1,0
ela kano il download come wen ur free,30,8,41,1,0,0,5,0
yeah stand close tho catch someth,44,12,62,2,0,0,3,0
sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri,149,41,195,4,1,2,5,0
smile pleasur smile pain smile troubl pour like rain smile sum hurt smile becoz someon still love see smile,113,26,141,2,1,1,2,0
pleas call custom servic repres pm guarante cash prize,89,19,139,1,7,22,2,1
havent plan buy later check alreadi lido got show afternoon finish work alreadi,82,19,107,3,1,3,3,0
free rington wait collect simpli text password mix verifi get usher britney fml,93,21,125,4,1,5,6,1
watch telugu movi wat abt,26,6,33,1,0,0,3,0
see finish load loan pay,39,12,51,2,0,0,1,0
hi wk ok hol ye bit run forgot hairdress appoint four need get home shower beforehand caus prob ham,137,38,184,5,0,0,9,0
pleas text anymor noth els say,44,12,57,2,0,0,3,0
okay name ur price long legal wen pick ave am xx,59,21,81,3,0,0,2,0
still look car buy gone drive test yet,57,17,76,2,1,1,3,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,128,25,160,2,1,1,6,0
wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,140,38,183,5,0,0,8,0
umma life vava umma love lot dear,35,10,44,1,0,0,0,0
thank lot wish birthday thank make birthday truli memor,77,17,95,2,0,0,2,0
aight hit get cash,32,11,43,1,0,0,2,0
would ip address test consid comput minecraft server,68,15,82,1,0,0,1,0
know grumpi old peopl mom like better lie alway one play joke,86,24,115,4,0,0,6,0
dont worri guess busi,22,7,30,2,0,0,3,0
plural noun research,32,8,40,1,0,0,1,0
go dinner msg,25,6,31,1,0,0,2,0
ok wif co like tri new thing scare dun like mah co said loud,68,24,96,3,1,1,4,0
gent tri contact last weekend draw show prize guarante call claim code valid hr ppm,103,25,159,6,5,22,6,1
wa ur openin sentenc formal anyway fine juz tt eatin much puttin weight haha anythin special happen,105,27,143,1,0,0,15,0
enter cabin pa said happi day boss felt special askd lunch lunch invit apart went,111,30,156,5,1,1,13,0
winner special select receiv holiday flight inc speak live oper claim min,95,23,153,1,6,22,7,1
goodo ye must speak friday egg potato ratio tortilla need,56,12,72,2,0,0,4,0
hmm uncl inform pay school directli pl buy food,66,17,86,2,0,0,6,0
privat account statement show unredeem bonu point claim call identifi code expir,88,15,144,3,5,34,3,1
urgent mobil award bonu caller prize final tri contact call landlin box wr ppm,98,25,157,4,8,26,6,1
new address appl pair malarki,43,10,53,1,0,0,3,0
today voda number end select receiv award match pleas call quot claim code standard rate app,106,23,156,2,4,22,2,1
go sao mu today done,36,12,52,2,1,2,1,0
predict wat time finish buy,28,6,40,1,0,0,2,0
good stuff,15,4,20,1,0,0,2,0
know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,190,49,244,4,0,0,9,0
room,17,5,22,1,0,0,1,0
hey girl hope well del bak long time give call sum time lucyxx,77,27,107,5,0,0,4,0
much cost,19,7,28,1,0,0,5,0
home,6,3,9,1,0,0,2,0
dear call tmorrow pl accomod,32,6,39,1,0,0,3,0
first answer question,21,4,25,1,0,0,1,0
sunshin quiz wkli win top soni dvd player know countri algarv txt ansr sp tyron,87,24,126,3,3,8,5,1
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec msg,114,29,162,6,6,13,8,1
haf msn yiju hotmail com,29,9,38,2,0,0,4,0
call meet,26,8,34,2,0,0,1,0
check room befor activ,37,9,46,2,0,0,1,0
rcv msg chat svc free hardcor servic text go get noth must age verifi yr network tri,115,31,155,2,1,5,4,1
got lazi type forgot lect saw pouch like nice,53,19,86,1,0,0,12,0
text way,24,9,33,1,0,0,2,0
sir wait mail,21,5,27,1,0,0,2,0
swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni,120,26,158,1,2,2,11,0
know pl open back,31,10,42,2,0,0,2,0
ye see ya dot,19,7,25,1,0,0,0,0
what staff name take class us,38,10,48,1,0,0,1,0
freemsg repli text randi sexi femal live local luv hear netcollex ltd per msg repli stop end,110,31,159,3,1,14,7,1
ummma call check life begin qatar pl pray hard,67,17,84,1,0,0,3,0
delet contact,25,7,33,1,0,0,3,0
sindu got job birla soft,22,6,30,1,0,0,2,0
wine flow never,34,10,45,1,0,0,3,0
yup thk cine better co need go plaza mah,42,13,59,1,2,2,1,0
ok ur typic repli,16,4,25,1,0,0,6,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,128,25,160,2,1,1,6,0
everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,289,81,384,5,0,0,16,0
aaooooright work,23,5,28,1,0,0,1,0
leav hous,19,6,27,1,0,0,4,0
hello love get interview today happi good boy think miss,117,33,157,6,0,0,8,0
custom servic annonc new year deliveri wait pleas call arrang deliveri,93,18,124,3,1,11,2,1
winner special select receiv cash holiday flight inc speak live oper claim,95,22,146,1,5,20,3,1
keep safe need miss alreadi envi everyon see real life,91,25,115,1,0,0,1,0
new car hous parent new job hand,47,14,64,2,0,0,5,0
love excit day spend make happi,62,21,85,3,0,0,5,0
pl stop bootydeli invit friend repli ye see www sm ac bootydeli stop send stop frnd,103,27,152,3,4,13,13,1
bangbab ur order way receiv servic msg download ur content goto wap bangb tv ur mobil internet servic menu,119,30,155,5,1,1,6,1
place ur point cultur modul alreadi,41,10,51,1,0,0,1,0
urgent tri contact last weekend draw show prize guarante call claim code valid hr,106,25,157,5,4,18,5,1
hi frnd best way avoid missunderstd wit belov one,59,14,74,1,0,0,3,0
great escap fanci bridg need lager see tomo,52,13,67,3,0,0,2,0
ye complet form clark also utter wast,45,11,59,1,0,0,5,0
sir need axi bank account bank address,39,10,50,1,0,0,2,0
hmmm thk sure got time hop ard ya go free abt muz call discuss liao,61,19,94,1,1,1,12,0
time come later,26,6,33,1,0,0,1,0
bloodi hell cant believ forgot surnam mr ill give clue spanish begin,78,20,105,2,0,0,6,0
well gon na finish bath good fine night,44,13,61,2,0,0,7,0
let know got money carlo make call,51,15,65,1,0,0,1,0
still go mall,20,6,26,1,0,0,1,0
turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth,102,30,146,1,0,0,14,0
text doesnt repli let know log,50,16,66,2,0,0,1,0
hi spoke maneesha like know satisfi experi repli toll free ye,97,26,126,3,0,0,5,0
lift hope offer money need especi end month approach hurt studi anyway gr weekend,125,31,159,4,1,1,3,0
lol trust,16,6,23,2,0,0,2,0
ok gentleman treat digniti respect,51,13,65,1,0,0,2,0
guy close,18,5,24,1,0,0,2,0
go noth great bye,22,5,26,1,0,0,1,0
hello handsom find job lazi work toward get back net mummi boytoy miss,114,27,152,6,0,0,7,0
haha awesom minut,27,7,34,1,0,0,1,0
pleas call custom servic repres freephon pm guarante cash prize,98,20,149,1,7,22,2,1
got xma radio time get,42,13,55,2,0,0,1,0
ju reach home go bath first si use net tell finish,65,19,88,3,0,0,5,0
uniqu enough find th august www areyouuniqu co uk,56,13,72,3,1,2,5,1
sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,140,40,185,5,0,0,8,0
hi final complet cours,28,6,37,1,0,0,4,0
stop howev suggest stay someon abl give or everi stool,88,22,111,2,0,0,2,0
hope settl new school year wishin gr day,70,20,92,3,1,1,3,0
gud mrng dear hav nice day,22,7,28,1,0,0,0,0
got person stori,23,6,28,1,0,0,0,0
hamster dead hey tmr meet pm orchard mrt,47,14,64,2,1,1,2,0
hi kate even hope see tomorrow bit bloodi babyjontet txt back xxx,97,29,131,4,0,0,5,0
found enc lt gt,24,8,40,1,0,0,8,0
sent lt gt buck,17,6,28,1,0,0,5,0
hello darlin ive finish colleg txt finish love kate xxx,67,18,84,1,0,0,0,0
account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,131,28,174,3,0,0,16,0
goodmorn sleep ga,21,3,24,1,0,0,1,0
call alter ok,16,6,25,1,1,2,1,0
say like dat dun buy ericsson oso oredi lar,47,12,64,1,0,0,3,0
enter cabin pa said happi day boss felt special askd lunch lunch invit apart went,111,30,156,5,1,1,13,0
aight yo dat straight dogg,23,5,28,1,0,0,1,0
pleas give us connect today lt decim gt refund bill,68,15,86,1,0,0,4,0
shoot big load get readi,28,8,39,1,0,0,3,0
bruv hope great break reward semest,56,15,73,2,0,0,4,0
home alway chat,21,6,26,1,0,0,0,0
good studi well,15,5,23,1,0,0,7,0
yup noe leh,12,4,24,1,0,0,6,0
sound great home,24,6,31,2,0,0,2,0
final match head toward draw predict,49,9,58,1,0,0,1,0
tire slept well past night,37,10,48,2,0,0,3,0
easi ah sen got select mean good,32,8,41,1,0,0,3,0
take exam march,24,7,32,1,1,1,0,0
yeah think use gt atm regist sure anyway help let know sure readi,120,36,159,4,0,0,5,0
ok prob take ur time,18,6,25,2,0,0,2,0
os call ubandu run without instal hard disk use os copi import file system give repair shop,127,31,161,1,0,0,5,0
sorri call later,17,5,22,1,0,0,2,0
say leh cours noth happen lar say romant ju bit lor thk nite sceneri nice leh,88,26,119,3,0,0,6,0
new mobil must go txt nokia collect today www tc biz optout gbp mtmsg,79,20,143,2,9,31,11,1
would realli appreci call need someon talk,55,13,69,2,0,0,2,0
meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign horo ari,100,28,137,3,2,2,6,1
hey compani elama po mudyadhu,25,5,30,1,0,0,1,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,127,25,165,4,0,0,12,0
dear good morn,27,8,34,1,0,0,0,0
get gandhipuram walk cross cut road right side lt gt street road turn first right,83,21,109,2,0,0,7,0
dear go rubber place,30,8,37,1,0,0,0,0
sorri batteri die yeah,26,7,33,1,0,0,2,0
ye tv alway avail work place,37,9,48,1,0,0,4,0
text meet someon sexi today find date even flirt join repli name age eg sam msg recd thirtyeight penc,109,30,157,4,4,7,8,1
print oh lt gt come upstair,34,10,50,2,0,0,6,0
ill littl closer like bu stop street,51,15,65,1,0,0,0,0
wil reach,30,8,38,1,0,0,2,0
new theori argument win situat lose person dont argu ur friend kick amp say alway correct,105,25,145,6,0,0,14,0
secret admir look make contact find reveal think ur special call,94,25,145,1,3,24,3,1
tomarrow final hear laptop case cant,41,10,51,1,0,0,1,0
pleassssssseeeee tel avent done sportsx,39,7,45,1,0,0,0,0
okay shine meant sign sound better,63,16,83,3,0,0,5,0
although told dat baig face watch realli like watch gave co fr thanx everyth dat done today touch,114,35,155,1,1,1,9,0
rememb old commerci,30,7,37,1,0,0,2,0
late said websit dont slipper,59,18,78,3,0,0,3,0
ask call ok,23,8,30,1,0,0,0,0
kalli wont bat nd inning,24,6,31,1,1,1,1,0
didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,112,31,146,4,0,0,5,0
congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age,103,23,150,1,9,22,3,1
ranjith cal drpd deeraj deepak min hold,36,8,44,1,1,1,0,0
wen ur lovabl bcum angri wid dnt take serious coz angri childish true way show deep affect care luv kettoda manda nice day da,135,34,179,2,0,0,11,0
,21,6,27,1,0,0,2,0
up day also ship compani take wk way usp take week get lag may bribe nipost get stuff,138,37,179,2,2,2,3,0
back lem know readi,29,9,38,1,0,0,3,0
necessarili expect done get back though headin,78,20,97,1,0,0,2,0
mmm yummi babe nice jolt suzi,31,9,43,1,0,0,3,0
lover need,24,7,36,2,0,0,4,0
tri contact repli offer video handset anytim network min unlimit text camcord repli call,110,25,154,5,2,14,4,1
park next mini come today think,52,16,74,2,0,0,5,0
yup,3,1,3,1,0,0,0,0
anyway go shop co si done yet dun disturb liao,64,19,85,3,0,0,4,0
luton ring ur around,28,10,51,3,1,10,3,0
hey realli horni want chat see nake text hot text charg pm unsubscrib text stop,84,23,121,1,3,13,0,1
dint come us,20,6,26,1,0,0,1,0
wana plan trip sometm,28,7,35,2,0,0,1,0
sure yet still tri get hold,36,11,47,1,0,0,1,0
ur rington servic chang free credit go club mobil com choos content stop txt club stop wk club po box mk wt,107,28,159,6,8,19,7,1
evo download flash jealou,36,9,47,3,0,0,3,0
rington club get uk singl chart mobil week choos top qualiti rington messag free charg,107,24,133,2,0,0,3,1
come mu sort narcot situat,43,10,53,1,0,0,2,0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,116,29,147,2,0,0,3,0
hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,112,26,155,4,4,12,7,1
usf guess might well take car,27,8,37,1,1,1,1,0
object bf come,24,6,31,2,0,0,2,0
thanx,5,1,8,1,0,0,3,0
tell rob mack gf theater,30,9,38,1,0,0,0,0
awesom see bit,22,8,30,1,0,0,2,0
sent type food like,35,11,47,2,0,0,2,0
done hand celebr full swing yet,44,10,56,3,0,0,3,0
got call tool,17,5,22,1,0,0,1,0
wen miss someon,15,4,19,1,0,0,1,0
ok ask money far,22,7,29,1,0,0,1,0
oki,4,1,7,1,0,0,3,0
yeah think usual guy still pass last night get ahold anybodi let know throw,94,27,121,1,0,0,3,0
might come tonight class let earli,45,13,58,1,0,0,1,0
ok,2,1,4,1,0,0,2,0
hi babi im cruisin girl friend give call hour home that alright fone fone love jenni xxx,112,34,148,2,1,1,1,0
life mean lot love life love peopl life world call friend call world ge,114,33,160,1,0,0,14,0
dear shall mail tonit busi street shall updat tonit thing look ok varunnathu edukkukaye raksha ollu good one real sens,125,27,152,1,0,0,7,0
hey told name gautham ah,29,8,37,1,0,0,1,0
haf found feel stupid da cam work,41,13,55,2,0,0,2,0
oop got bit,14,4,21,2,1,1,2,0
much buzi,18,5,22,1,0,0,0,0
accident delet messag resend pleas,42,7,50,2,0,0,2,0
mobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfeb appli,110,29,159,2,4,13,8,1
unless situat go gurl would appropri,55,13,67,1,0,0,1,0
hurt teas make cri end life die plz keep one rose grave say stupid miss nice day bslvyl,108,35,153,1,0,0,11,0
cant pick phone right pl send messag,40,11,51,2,0,0,1,0
need coffe run tomo believ time week alreadi,53,15,67,1,0,0,3,0
awesom rememb last time got somebodi high first time diesel,70,17,88,1,0,0,2,0
shit realli shock scari cant imagin second def night think somewher could crash night save taxi,122,31,157,3,0,0,5,0
oh way food fridg want go meal tonight,68,21,91,2,0,0,2,0
womdarful actor,20,5,24,1,0,0,0,0
sm ac blind date rodd aberdeen unit kingdom check http img sm ac icmb cktz blind date send hide,101,28,146,6,7,8,15,1
yup remb think book,37,11,57,1,0,0,9,0
jo ask wana meet,19,7,26,1,0,0,1,0
lol ye friendship hang thread caus buy stuff,55,15,71,2,0,0,3,0
themob check newest select content game tone gossip babe sport keep mobil fit funki text wap,104,23,138,1,1,5,6,1
garag key bookshelf,44,11,55,2,0,0,2,0
today accept day accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,127,25,156,2,3,3,3,0
think ur smart win week weekli quiz text play cs winnersclub po box uz gbp week,80,23,134,4,8,18,10,1
say give call friend got money definit buy end week,93,27,119,1,0,0,3,0
hi way day normal way real ur uniqu hope know rest mylif hope find wot lost,102,34,142,3,2,2,6,0
made day great day,30,10,41,2,0,0,2,0
advanc happi pongal,20,5,26,1,0,0,4,0
hmmm guess go kb power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,81,23,119,1,1,1,14,0
realli dude friend afraid,34,9,46,1,0,0,4,0
decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free,114,26,157,4,2,13,4,1
coffe cake guess,16,4,23,1,0,0,4,0
merri christma babe love ya kiss,39,10,51,1,0,0,3,0
hey dont go watch men lunch haha,43,13,62,1,0,0,6,0
cud tell ppl im gona bit co buse hav gon past co full im still waitin pete,74,24,107,1,4,4,2,0
would great guild could meet bristol road somewher get touch weekend plan take flight good week,121,31,157,5,0,0,6,0
problem,23,6,30,2,0,0,2,0
call messag miss call,26,5,32,1,0,0,4,0
hi da today class,23,7,31,1,0,0,3,0
say good sign well know track record read women,60,18,79,1,0,0,4,0
cool text park,25,7,32,1,0,0,2,0
read text sent meant joke read light,64,21,86,3,0,0,3,0
apo good movi,15,6,22,1,0,0,5,0
mayb could get book tomo return immedi someth,59,13,76,2,0,0,4,0
call germani penc per minut call fix line via access number prepay direct access,89,19,128,3,5,12,4,1
chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,186,44,232,3,0,0,4,0
valentin day special win quiz take partner trip lifetim send go msg rcvd custcar,101,26,159,5,4,23,7,1
ta daaaaa home babe still,32,10,45,2,0,0,4,0
cool come havent wine dine,45,11,57,2,0,0,2,0
sleep surf,22,4,26,1,0,0,2,0
sorri call later,17,5,22,1,0,0,2,0
call right call hand phone,30,8,41,2,0,0,4,0
ok great thanx lot,21,7,28,1,0,0,2,0
take post come must text happi read one wiv hello carolin end favourit bless,113,31,151,5,1,4,4,0
hide stranger,24,5,29,1,0,0,1,0
interest like,27,7,34,1,0,0,1,0
sister clear two round birla soft yesterday,43,9,52,1,0,0,1,0
gudnit tc practic go,24,5,33,1,0,0,7,0
di yiju ju saw ur mail case huim havent sent num di num,62,20,85,4,0,0,4,0
one small prestig problem,26,5,31,1,0,0,1,0
fanci shag interest sextextuk com txt xxuk suzi txt cost per msg tnc websit,76,20,111,5,3,8,8,1
check realli miss see jeremiah great month,62,15,78,3,0,0,2,0
nah help never iphon,38,12,50,1,0,0,3,0
car hour half go apeshit,47,17,63,1,0,0,2,0
today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,112,31,148,3,0,0,7,0
yo guy ever figur much need alcohol jay tri figur much safe spend weed,101,28,129,2,0,0,1,0
lt gt ish minut minut ago wtf,30,8,45,2,1,1,7,0
thank call forgot say happi onam sirji fine rememb met insur person meet qatar insha allah rakhesh ex tata aig join tissco tayseer,162,39,202,1,0,0,7,0
congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age,103,23,150,1,9,22,3,1
ur cash balanc current pound maxim ur cash send cash msg cc hg suit land row hl,90,26,148,2,8,28,9,1
actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,128,34,168,4,0,0,10,0
hello got st andrew boy long way cold keep post,64,18,85,4,0,0,5,0
ha ha cool cool chikku chikku db,26,7,38,1,0,0,7,0
oh ok prob,10,4,15,1,0,0,2,0
check audrey statu right,26,6,31,1,0,0,1,0
busi tri finish new year look forward final meet,68,16,88,3,0,0,5,0
good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,119,31,160,5,0,0,8,0
well know take care worri,37,12,50,2,0,0,2,0
updat xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd call optout,112,23,165,4,5,18,10,1
discount code rp stop messag repli stop www regalportfolio co uk custom servic,91,18,129,4,2,17,6,1
wat uniform get,20,5,26,2,0,0,2,0
cool text readi,24,7,31,1,0,0,2,0
hello boytoy geeee miss alreadi woke wish bed cuddl love,92,27,129,3,0,0,9,0
spoil bed well,24,8,34,1,0,0,2,0
go bath msg next lt gt min,35,12,54,1,0,0,8,0
cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,125,37,162,2,0,0,1,0
thank rington order refer charg gbp per week unsubscrib anytim call custom servic,115,24,157,3,3,14,3,1
say happen,19,5,23,1,0,0,0,0
could seen recognis face,39,11,53,2,0,0,6,0
well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,104,26,131,1,0,0,3,0
keep payasam rinu bring,30,7,36,1,0,0,0,0
taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,112,27,143,4,0,0,5,0
guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,230,64,300,6,0,0,14,0
yeah sure give coupl minut track wallet,47,12,59,1,0,0,1,0
hey leav big deal take care,29,9,42,2,0,0,5,0
hey late ah meet,25,9,41,1,1,3,4,0
doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd call optout dx,108,23,149,3,6,16,4,1
took mr owl lick,16,5,22,1,1,1,0,0
custom place call,25,6,31,1,0,0,1,0
mm time dont like fun,24,7,30,1,0,0,0,0
mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat stoptxt,110,23,155,4,5,16,4,1
yup lunch buffet eat alreadi,36,9,47,1,0,0,3,0
huh late fr dinner,17,5,25,1,0,0,4,0
hey sat go intro pilat kickbox,62,16,80,2,0,0,2,0
morn ok,17,5,22,1,0,0,1,0
ye think offic lap room think that last day didnt shut,86,28,115,3,0,0,2,0
pick bout ish time go,39,11,56,2,2,3,3,0
perform award calcul everi two month current one month period,84,17,102,1,0,0,3,0
actual sleep still might call back text gr rock si send text wen wake,88,26,118,4,1,1,4,0
alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,173,44,221,4,0,0,6,0
good even sir al salam wahleykkum share happi news grace god got offer tayseer tissco join hope fine inshah allah meet sometim rakhesh visitor india,164,38,204,1,0,0,11,0
hmmm want chang field quickli da wan na get system administr network administr,88,19,114,1,0,0,11,0
free rington text first poli text get true tone help st free tone pw nd txt stop,92,29,158,3,8,28,3,1
dear chechi talk,30,9,39,2,0,0,1,0
hair cream ship,29,7,36,1,0,0,1,0
none happen til get though,39,10,48,1,0,0,1,0
yep great loxahatche xma tree burn lt gt start hour,57,14,77,1,0,0,6,0
haha get use drive usf man know lot stoner,46,14,60,1,0,0,1,0
well slightli disastr class pm fav darl hope day ok coffe wld good stay late tomorrow time place alway,131,32,168,3,0,0,6,0
hello good week fanci drink someth later,40,9,51,3,0,0,3,0
headin toward busetop,20,3,22,1,0,0,0,0
